COD_NAT_DESPESA;Natureza Despesa;COD_NAT_DETALHADA;Natureza Despesa Detalhada;Métrica;Mês;Empenhado;Liquidado;Porcentagem Empenhado;Porcentagem Liquidado
339030;MATERIAL DE CONSUMO;33903036;MATERIAL HOSPITALAR;MAR/2024;03/2024;144,18;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903036;MATERIAL HOSPITALAR;MAI/2024;05/2024;0;144,18;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903035;MATERIAL LABORATORIAL;MAR/2024;03/2024;258,84;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903035;MATERIAL LABORATORIAL;ABR/2024;04/2024;0;208,84;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903035;MATERIAL LABORATORIAL;MAI/2024;05/2024;0;50;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;MAR/2024;03/2024;28.011,09;4.562,05;0,50%;0,08%
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;ABR/2024;04/2024;0;20.158,76;0,00%;0,36%
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;MAI/2024;05/2024;14.355,10;2.027,74;0,25%;0,04%
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;JUN/2024;06/2024;0;957;0,00%;0,02%
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;MAR/2024;03/2024;542,5;0;0,01%;0,00%
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;ABR/2024;04/2024;10.000,00;542,5;0,18%;0,01%
339030;MATERIAL DE CONSUMO;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;MAI/2024;05/2024;0;0;0,00%;0,00%
339034;OUTRAS DESP.PESSOAL DEC. CONTRATOS TERCEIRIZ.;33903401;OUTRAS DESPESAS DE PESSOAL - TERCEIRIZACAO;MAI/2024;05/2024;477.603,99;0;8,45%;0,00%
339034;OUTRAS DESP.PESSOAL DEC. CONTRATOS TERCEIRIZ.;33903401;OUTRAS DESPESAS DE PESSOAL - TERCEIRIZACAO;JUN/2024;06/2024;0;54.457,51;0,00%;0,96%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904016;OUTSOURCING DE IMPRESSAO;JAN/2024;01/2024;3.500,00;0;0,06%;0,00%
